idx,arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,pad_id,raw_hex_field_load,raw_id,raw_load,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
1755,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49758,127.0.0.1,0,4,,,,,485454502f312e3120343034204e6f7420466f756e640d0a582d506f77657265642d42793a20457870726573730d0a436f6e74656e742d53656375726974792d506f6c6963793a2064656661756c742d737263202773656c66270d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a436f6e74656e742d4c656e6774683a203135310d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a3c6d65746120636861727365743d227574662d38223e0a3c7469746c653e4572726f723c2f7469746c653e0a3c2f686561643e0a3c626f64793e0a3c7072653e43616e6e6f7420474554202f736974656d61702e786d6c2f3c2f7072653e0a3c2f626f64793e0a3c2f68746d6c3e0a,52601,,,,1653867136,,,65464,8080,
1756,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49758,127.0.0.1,0,4,,,,,485454502f312e3120343034204e6f7420466f756e640d0a582d506f77657265642d42793a20457870726573730d0a436f6e74656e742d53656375726974792d506f6c6963793a2064656661756c742d737263202773656c66270d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d7574662d380d0a436f6e74656e742d4c656e6774683a203135310d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3c21444f43545950452068746d6c3e0a3c68746d6c206c616e673d22656e223e0a3c686561643e0a3c6d65746120636861727365743d227574662d38223e0a3c7469746c653e4572726f723c2f7469746c653e0a3c2f686561643e0a3c626f64793e0a3c7072653e43616e6e6f7420474554202f736974656d61702e786d6c2f3c2f7072653e0a3c2f626f64793e0a3c2f68746d6c3e0a,52601,,,,1653867136,,,65464,8080,
1757,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50124,127.0.0.1,0,4,,,,,,8080,,,,1653867136,,,65064,52601,
1758,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50124,127.0.0.1,0,4,,,,,,8080,,,,1653867136,,,65064,52601,
1759,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64886,127.0.0.1,0,4,,,,,,8080,,,,1653867136,,,65064,48955,
1760,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,64886,127.0.0.1,0,4,,,,,,8080,,,,1653867136,,,65064,48955,
1761,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49890,127.0.0.1,0,4,,,,,474554202f62756e646c652e6a733f71756572793d373437363532333134303237323230363133332e6f776173702e6f726720485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867156,,,65297,52601,
1762,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,49890,127.0.0.1,0,4,,,,,474554202f62756e646c652e6a733f71756572793d373437363532333134303237323230363133332e6f776173702e6f726720485454502f312e310d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e333b20574f5736343b2072763a33392e3029204765636b6f2f32303130303130312046697265666f782f33392e300d0a507261676d613a206e6f2d63616368650d0a43616368652d436f6e74726f6c3a206e6f2d63616368650d0a436f6e74656e742d4c656e6774683a20300d0a486f73743a206c6f63616c686f73743a383038300d0a0d0a,8080,,,,1653867156,,,65297,52601,
1763,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50209,127.0.0.1,0,4,,,,,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a6176617363726970743b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a20313338383630350d0a455461673a20572f223135333033642d6270686369706d344e4c613657624c3751494a4c7079424d6f626f220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a2f2a2a2a2a2a2a2f202866756e6374696f6e286d6f64756c657329207b202f2f207765627061636b426f6f7473747261700a2f2a2a2a2a2a2a2f20092f2f20546865206d6f64756c652063616368650a2f2a2a2a2a2a2a2f200976617220696e7374616c6c65644d6f64756c6573203d207b7d3b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f2054686520726571756972652066756e6374696f6e0a2f2a2a2a2a2a2a2f200966756e6374696f6e205f5f7765627061636b5f726571756972655f5f286d6f64756c65496429207b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f20436865636b206966206d6f64756c6520697320696e2063616368650a2f2a2a2a2a2a2a2f200909696628696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d29207b0a2f2a2a2a2a2a2a2f2009090972657475726e20696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d2e6578706f7274733b0a2f2a2a2a2a2a2a2f2009097d0a2f2a2a2a2a2a2a2f2009092f2f204372656174652061206e6577206d6f64756c652028616e642070757420697420696e746f20746865206361636865290a2f2a2a2a2a2a2a2f200909766172206d6f64756c65203d20696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d203d207b0a2f2a2a2a2a2a2a2f20090909693a206d6f64756c6549642c0a2f2a2a2a2a2a2a2f200909096c3a2066616c73652c0a2f2a2a2a2a2a2a2f200909096578706f7274733a207b7d0a2f2a2a2a2a2a2a2f2009097d3b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f204578656375746520746865206d6f64756c652066756e6374696f6e0a2f2a2a2a2a2a2a2f2009096d6f64756c65735b6d6f64756c6549645d2e63616c6c286d6f64756c652e6578706f7274732c206d6f64756c652c206d6f64756c652e6578706f7274732c205f5f7765627061636b5f726571756972655f5f293b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f20466c616720746865206d6f64756c65206173206c6f616465640a2f2a2a2a2a2a2a2f2009096d6f64756c652e6c203d20747275653b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f2052657475726e20746865206578706f727473206f6620746865206d6f64756c650a2f2a2a2a2a2a2a2f20090972657475726e206d6f64756c652e6578706f7274733b0a2f2a2a2a2a2a2a2f20097d0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f206578706f736520746865206d6f64756c6573206f626a65637420285f5f7765627061636b5f6d6f64756c65735f5f290a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e6d203d206d6f64756c65733b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f206578706f736520746865206d6f64756c652063616368650a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e63203d20696e7374616c6c65644d6f64756c65733b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f20646566696e65206765747465722066756e6374696f6e20666f72206861726d6f6e79206578706f7274730a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e64203d2066756e6374696f6e286578706f7274732c206e616d652c2067657474657229207b0a2f2a2a2a2a2a2a2f200909696628215f5f7765627061636b5f7265717569,52601,,,,1653867158,,,65012,8080,
1764,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,50209,127.0.0.1,0,4,,,,,485454502f312e3120323030204f4b0d0a582d506f77657265642d42793a20457870726573730d0a4163636570742d52616e6765733a2062797465730d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6a6176617363726970743b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a20313338383630350d0a455461673a20572f223135333033642d6270686369706d344e4c613657624c3751494a4c7079424d6f626f220d0a446174653a204d6f6e2c203239204a616e20323031382032313a33373a313220474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a2f2a2a2a2a2a2a2f202866756e6374696f6e286d6f64756c657329207b202f2f207765627061636b426f6f7473747261700a2f2a2a2a2a2a2a2f20092f2f20546865206d6f64756c652063616368650a2f2a2a2a2a2a2a2f200976617220696e7374616c6c65644d6f64756c6573203d207b7d3b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f2054686520726571756972652066756e6374696f6e0a2f2a2a2a2a2a2a2f200966756e6374696f6e205f5f7765627061636b5f726571756972655f5f286d6f64756c65496429207b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f20436865636b206966206d6f64756c6520697320696e2063616368650a2f2a2a2a2a2a2a2f200909696628696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d29207b0a2f2a2a2a2a2a2a2f2009090972657475726e20696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d2e6578706f7274733b0a2f2a2a2a2a2a2a2f2009097d0a2f2a2a2a2a2a2a2f2009092f2f204372656174652061206e6577206d6f64756c652028616e642070757420697420696e746f20746865206361636865290a2f2a2a2a2a2a2a2f200909766172206d6f64756c65203d20696e7374616c6c65644d6f64756c65735b6d6f64756c6549645d203d207b0a2f2a2a2a2a2a2a2f20090909693a206d6f64756c6549642c0a2f2a2a2a2a2a2a2f200909096c3a2066616c73652c0a2f2a2a2a2a2a2a2f200909096578706f7274733a207b7d0a2f2a2a2a2a2a2a2f2009097d3b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f204578656375746520746865206d6f64756c652066756e6374696f6e0a2f2a2a2a2a2a2a2f2009096d6f64756c65735b6d6f64756c6549645d2e63616c6c286d6f64756c652e6578706f7274732c206d6f64756c652c206d6f64756c652e6578706f7274732c205f5f7765627061636b5f726571756972655f5f293b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f20466c616720746865206d6f64756c65206173206c6f616465640a2f2a2a2a2a2a2a2f2009096d6f64756c652e6c203d20747275653b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f2009092f2f2052657475726e20746865206578706f727473206f6620746865206d6f64756c650a2f2a2a2a2a2a2a2f20090972657475726e206d6f64756c652e6578706f7274733b0a2f2a2a2a2a2a2a2f20097d0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f206578706f736520746865206d6f64756c6573206f626a65637420285f5f7765627061636b5f6d6f64756c65735f5f290a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e6d203d206d6f64756c65733b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f206578706f736520746865206d6f64756c652063616368650a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e63203d20696e7374616c6c65644d6f64756c65733b0a2f2a2a2a2a2a2a2f0a2f2a2a2a2a2a2a2f20092f2f20646566696e65206765747465722066756e6374696f6e20666f72206861726d6f6e79206578706f7274730a2f2a2a2a2a2a2a2f20095f5f7765627061636b5f726571756972655f5f2e64203d2066756e6374696f6e286578706f7274732c206e616d652c2067657474657229207b0a2f2a2a2a2a2a2a2f200909696628215f5f7765627061636b5f7265717569,52601,,,,1653867158,,,65012,8080,
